YEAR	JF_Reg1	JF_Reg2	JF_Reg3	JF_Reg4	JF_Reg5	JF_Reg6	JF_Reg7	JF_Reg8	AM_Reg1	AM_Reg2	AM_Reg3	AM_Reg4	AM_Reg5	AM_Reg6	AM_Reg7	AM_Reg8	AM_Reg9	JA_Reg1	JA_Reg2	JA_Reg3	JA_Reg4	JA_Reg5	JA_Reg6	JA_Reg7	ON_Reg1	ON_Reg2	ON_Reg3	ON_Reg4	ON_Reg5	ON_Reg6	ON_Reg7	ON_Reg8	ON_Reg9
1930	26.75	27.38095238	28.91176471	33.14285714	35.8	39.4	43.60869565	28.42105263	32.73076923	45.54545455	42.10526316	40.9	30.625	44.14285714	39.1	36.66666667	27.6	43.22222222	43.41176471	46.29310345	62.79310345	48.375	50.5	50.30769231	38.66666667	29.375	34.56	33.60869565	41.38235294	42.84	41.47058824	48.52941176	55.07692308
1931	27.91666667	27.66666667	30.14705882	34.78571429	35.77777778	30.6	42.60869565	37.63157895	31.15384615	41.68181818	37.05263158	41.26666667	38.1875	39.21428571	39.05	40.51515152	29.8	42.44444444	41.76470588	44.72413793	56.24137931	51.20833333	47.81818182	45.07692308	42.33333333	34.5625	32.6	36.60869565	44.29411765	45.48	43.76470588	41.82352941	53.23076923
1932	28.08333333	27.95238095	31.05882353	34.78571429	41.77777778	39.26666667	44.2173913	41.42105263	38.26923077	40.72727273	37.57894737	42.53333333	42.9375	41.07142857	41.15	40.81818182	32.5	40	42.47058824	46.5	52.79310345	47.70833333	51.45454545	50.69230769	39.33333333	41.75	32.72	34	41.38235294	43.92	40.76470588	51.94117647	54.23076923
1933	31.33333333	27.47619048	30.5	35.14285714	37.02222222	37.66666667	39.30434783	26.94736842	36.19230769	49.54545455	39.73684211	43.23333333	41.1875	30.57142857	41.55	34.90909091	25.6	43.61111111	45.35294118	49.67241379	53.13793103	47.125	50.04545455	52.84615385	39.22222222	35.75	34.68	35.95652174	41.35294118	51.92	40.82352941	49.29411765	47.30769231
1934	27.75	30.52380952	29.20588235	34.07142857	37.35555556	33.46666667	45.91304348	33.31578947	32.92307692	45.54545455	38.05263158	42.46666667	49.25	56.57142857	43.65	38.42424242	32.3	42.88888889	43	44.29310345	60.24137931	49.625	50.22727273	44.38461538	30.44444444	32	34.24	35.7826087	42.91176471	43.36	38.70588235	49.05882353	50.92307692
1935	29.33333333	27.80952381	29.41176471	35.14285714	35.46666667	37.33333333	49.04347826	37.84210526	40.23076923	38.40909091	34.57894737	41.13333333	36.9375	31.07142857	41.05	40.48484848	26.4	43.27777778	44.29411765	45.32758621	54.86206897	49.91666667	53.22727273	50.15384615	39.55555556	37.5	30.72	34.73913043	41.47058824	48.32	47.23529412	53.17647059	51.30769231
1936	27.41666667	27.14285714	29.02941176	35.14285714	35.15555556	35.26666667	38.08695652	40.36842105	34.65384615	41.81818182	36.42105263	41.06666667	34.6875	51.28571429	45.75	37.48484848	33.8	44	42.64705882	43.98275862	52.10344828	47.79166667	48.72727273	53.30769231	32.55555556	37	43.84	34.56521739	39.85294118	54.92	43.70588235	50.70588235	47.69230769
1937	26.25	29	29.91176471	34.28571429	38.66666667	38.26666667	43.52173913	43.52631579	35.26923077	43	39.84210526	40.76666667	42.75	44.85714286	45.45	39.84848485	31	42.38888889	43.82352941	47.63793103	51.13793103	53.70833333	51.90909091	48.53846154	51.55555556	43.1875	30.36	35.82608696	41.08823529	44.88	37.58823529	43.23529412	42.23076923
1938	30.33333333	27.71428571	29.20588235	35.71428571	36.77777778	36.66666667	37.39130435	31.15789474	38.92307692	44.18181818	34.73684211	43.33333333	41.8125	32.21428571	43.65	34.63636364	28.1	48.16666667	43.17647059	49.43103448	58.24137931	51.66666667	51.68181818	49.46153846	25.22222222	28.75	37.44	37.08695652	42.73529412	43.96	47.70588235	50.70588235	51.07692308
1939	27.66666667	29.14285714	28.79411765	32.71428571	38.73333333	36	42.95652174	36.05263158	38.07692308	46.72727273	33.84210526	41.06666667	47.0625	41.57142857	42.8	35.78787879	30.1	44.72222222	46.47058824	51.25862069	53.17241379	53.83333333	50.45454545	42.23076923	36.22222222	37.125	37.76	37.2173913	42.58823529	47.12	38.82352941	46.23529412	48.23076923
