YEAR,AREA,FebNegMEAN,FebNegMAX,FebNegMIN,FebPosMEAN,FebPosMAX,FebPosMIN,MarNegMEAN,MarNegMAX,MarNegMIN,AugPosMEAN,AugPosMAX,AugPosMIN,SepNegMEAN,SepNegMAX,SepNegMIN,OctPosMEAN,OctPosMAX,OctPosMIN
1994,7.81,-19.07334,-12.04796,-26.1736,11.50206,20.27583,2.803213,16.70185,23.50123,9.952469,13.5754,19.50106,7.699736,23.27523,30.37523,16.25031,11.62403,20.49895,2.824025
1995,12.61,-19.02308,-12.32283,-25.74847,14.32712,22.85115,5.903084,15.57704,21.67667,9.552469,17.10027,23.77619,10.49947,22.55076,27.97584,17.17569,13.02388,24.09895,2.023726
1996,18.19,-18.8977,-11.17257,-26.64796,14.27699,22.97647,5.627635,13.47691,20.95148,6.027284,16.42513,23.17566,9.699471,22.25061,28.00077,16.52554,12.47388,21.22388,3.7488
1997,5.77,-17.97283,-9.797445,-26.19821,11.20206,20.92622,1.527892,17.47704,23.57642,11.42753,14.70027,21.45106,8.024603,24.77569,31.67569,17.92569,11.9991,20.3991,3.624175
1998,5.56,-10.02308,-4.297955,-15.82334,10.42712,18.40167,2.477634,15.5021,21.92679,9.102469,17.1754,24.07619,10.3246,27.27538,34.40015,20.20061,12.29895,20.49895,4.198951
1999,9.05,-12.09821,-4.273083,-19.99821,13.17712,22.77622,3.603084,16.92716,23.17679,10.77753,15.22513,21.65053,8.874867,22.42569,29.22569,15.70061,13.67418,23.07418,4.324175
2000,2.83,-13.47283,-5.722572,-21.27309,13.85206,23.17622,4.577891,19.0521,25.82654,12.32765,15.0754,21.22566,8.975397,25.22553,33.37539,17.10077,11.9488,19.0488,4.898801
2001,9.36,-17.7477,-10.54719,-24.97334,11.62699,20.15116,3.127892,13.45222,19.45197,7.527531,17.0754,23.92619,10.24973,22.9503,29.82508,16.12554,14.42387,23.07388,5.873876
2002,7.54,-15.59694,-7.821806,-23.42206,12.15193,21.65103,2.702827,15.57728,22.70185,8.552716,15.70053,21.67619,9.8,24.30046,31.50031,17.15046,12.19895,20.09895,4.34895
2003,11.12,-20.69796,-12.92257,-28.52334,12.37699,19.80115,4.977891,15.80222,22.67667,9.002716,17.35053,23.85132,10.8746,21.87569,28.20046,15.60076,15.69895,24.12388,7.324025
2004,2.19,-13.82308,-6.672828,-21.07334,10.32712,18.62622,2.102956,18.70185,24.72642,12.72728,12.2254,18.32619,6.174868,24.15015,31.34985,17.00046,12.57403,20.17418,5.023875
2005,5.91,-14.22308,-6.698211,-21.79796,12.35193,19.22622,5.502699,16.12729,23.30173,9.027778,15.60027,21.85079,9.399471,25.95046,33.25031,18.65061,13.62387,21.37403,5.8988
2006,6.87,-16.79821,-9.723339,-23.97309,13.67699,22.77609,4.602956,18.90198,25.90148,11.92741,15.7254,22.55106,8.949736,22.15061,29.30046,15.05092,12.47402,20.37418,4.648801
2007,4.61,-20.69796,-13.57283,-27.84822,12.45193,21.40103,3.527763,18.47679,24.55124,12.42728,14.85027,21.17593,8.574603,25.07553,31.60031,18.62584,13.82403,22.52418,5.198951
2008,5.06,-17.47283,-10.0977,-24.87283,12.62699,21.67609,3.627763,17.10198,24.62654,9.677408,16.02513,23.15079,8.974603,22.60046,29.25046,16.00046,13.74895,22.6491,4.923875
2009,1.92,-16.79796,-9.572828,-24.07283,13.45206,23.12622,3.827891,17.75185,25.17642,10.37728,14.0254,19.85079,8.274868,22.27553,28.65046,15.92569,11.92403,20.07418,3.79895
2010,4.02,-14.4477,-8.922572,-20.02258,11.32712,18.97635,3.702956,15.3021,22.77667,7.902469,16.9254,23.22566,10.65,25.17538,31.75015,18.62553,14.04895,22.7988,5.349101
2011,2.89,-16.3477,-8.8477,-23.87283,10.20206,19.70128,0.7028271,19.45222,26.62667,12.30284,16.60053,23.60132,9.649735,23.57569,31.45061,15.77584,13.72417,23.04925,4.44925
2012,1.19,-12.92257,-6.3477,-19.49745,12.40206,21.35128,3.502956,19.37704,25.62667,13.17741,15.5754,22.17593,9.024603,24.62553,31.97523,17.37584,14.62403,24.5488,4.74925
2013,0.67,-17.22283,-10.54796,-23.92283,10.65219,19.52635,1.82802,17.17704,25.1516,9.22753,15.77513,22.30079,9.324338,25.67553,33.07539,18.37569,11.64925,21.0991,2.24925
2014,1.13,-19.64796,-13.44796,-25.92283,15.02712,24.42635,5.677892,15.5521,22.77654,8.327654,14.85053,21.40079,8.375397,24.32553,30.87508,17.80092,15.12403,24.22388,6.074176
2015,4.01,-24.3977,-16.92283,-31.89771,14.90206,23.75115,6.102955,16.05198,21.97654,10.20247,15.25027,21.12566,9.424868,26.20046,33.27539,19.20061,14.82388,22.87373,6.874025
2016,2.91,-16.1477,-8.922828,-23.42257,14.62699,24.92609,4.352956,18.52704,24.97654,12.10259,16.0754,22.40079,9.775133,25.00046,31.72508,18.37584,15.79895,25.4488,6.1991
