Year,pMexico,Spring South,Midwest,Northeast,Truncated Midwest,Truncated Northeast,Cape May,Peninsula Point ,Fall South,Mexico
1992,NA,NA,NA,NA,NA,NA,-600.35413,NA,NA,NA
1993,NA,NA,-22.60627,-23.8318443,-49.958751,-0.4439091,-143.77167,NA,NA,-3.55121693
1994,-3.65675214,NA,50.621981,-5.0781134,108.174394,3.3558052,156.91078,NA,NA,-1.65109483
1995,-1.74396581,NA,-140.121393,-23.2880526,-67.138461,-1.3544805,-428.90676,NA,NA,3.46902727
1996,3.38882051,NA,-73.651236,-30.1221012,-39.361316,-4.2647662,-168.32431,-110.74665,NA,9.36914937
1997,9.30160684,NA,54.359181,38.8919901,49.684829,32.1869481,253.15814,34.50642,NA,-2.73072853
1998,-2.78560684,NA,-70.832227,-29.9359757,-51.260025,-13.3933377,-257.8594,-161.1735,NA,-2.62060643
1999,-2.66282051,NA,80.069393,31.7046051,28.88612,5.7093766,2193.72305,58.21257,NA,1.10951567
2000,1.07996581,NA,-25.761585,6.3571202,-24.075735,-7.3539091,-399.29449,25.26264,NA,-3.71036223
2001,-3.72724786,NA,132.280374,15.0802234,45.04441,-6.5291948,13.88796,182.76871,NA,2.13975987
2002,2.13553846,NA,-9.459487,-55.6107987,-33.354445,-33.0944805,-362.22958,74.09478,-37.09276,0.63988197
2003,0.64832479,NA,17.606542,-36.6209678,8.8007,-25.0957662,-241.24713,218.42786,37.6696,4.54000407
2004,4.56111111,NA,-116.681546,-63.9952555,-60.460155,-33.8630519,-554.06468,-161.22407,-45.98404,-4.06987383
2005,-4.03610256,-27.42550909,-11.967425,-22.5732816,-3.40101,-23.6283377,-84.38222,143.203,-18.57069,-0.02975173
2006,0.01668376,11.50058182,162.865178,182.3708899,70.574136,76.1343766,1126.30023,-206.16693,57.23867,1.25037037
2007,1.30947009,13.49667273,90.831876,95.0480482,68.179281,45.1750909,134.38269,-138.14786,-13.08397,-0.68950753
2008,-0.61774359,-1.93223636,-5.010335,45.8790013,-14.342574,11.1128052,-340.33486,47.71122,-54.25462,0.08061457
2009,0.16504274,28.38985455,10.08667,0.3974891,-5.110429,-3.6724805,-319.45241,-99.71871,104.18674,-2.73926333
2010,-2.64217094,-11.02405455,131.743716,6.5883279,67.776716,3.7772338,431.33005,342.68636,-21.8289,-0.31914123
2011,-0.20938462,-0.03196364,-34.607717,-10.5833181,-11.430139,-12.7420519,92.0425,-178.20357,89.93146,-1.12901913
2012,-1.00659829,-7.18387273,-5.320937,86.0837484,2.035006,65.5836623,638.05496,-169.7105,-20.00119,-2.50889703
2013,-2.37381197,-11.44778182,-132.909941,-76.9778739,-68.980849,-43.1766234,-465.99259,-253.69942,-46.47983,-2.70877493
2014,-2.56102564,5.65830909,-75.783859,-48.9382572,-20.281704,-34.4229091,-179.34013,351.91765,-31.73047,-1.92865283
2015,-1.76823932,NA,61.595035,-53.3941175,NA,NA,-224.25768,NA,NA,1.27146927
2016,1.44454701,NA,-85.287771,-69.932211,NA,NA,-417.67523,NA,NA,0.49159137
2017,0.67733333,NA,17.941786,42.4807249,NA,NA,302.00723,NA,NA,0.38171347
2018,0.58011966,NA,NA,NA,NA,NA,-154.31032,NA,NA,4.27183557
2019,4.48290598,NA,NA,NA,NA,NA,NA,NA,NA,1.37195767
