,Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Phenophase_ID,Phenophase_Description,First_Yes_Sample_Size,Mean_First_Yes_Year,Mean_First_Yes_DOY,Mean_First_Yes_Julian_Date,SE_First_Yes_In_Days,SD_First_Yes_In_Days,Mean_NumDays_Since_Prior_No,SE_NumDays_Since_Prior_No,SD_NumDays_Since_Prior_No,Last_Yes_Sample_Size,Mean_Last_Yes_Year,Mean_Last_Yes_DOY,Mean_Last_Yes_Julian_Date,SE_Last_Yes_in_Days,SD_Last_Yes_in_Days,Mean_NumDays_Until_Next_No,SE_NumDays_Until_Next_No,SD_NumDays_Until_Next_No,Num_Individuals_with_Multiple_FirstY,Multiple_FirstY_Individual_IDs,Mean_AGDD,SE_AGDD,Mean_AGDD_in_F,SE_AGDD_in_F,Tmax_Winter,Tmax_Spring,Tmax_Summer,Tmax_Fall,Tmin_Winter,Tmin_Spring,Tmin_Summer,Tmin_Fall,Prcp_Winter,Prcp_Spring,Prcp_Summer,Prcp_Fall,Mean_Accum_Prcp,SE_Accum_Prcp,Mean_Daylength,SE_Daylength
157,5071,35.275764,-97.503876,361,OK,207,Symphyotrichum,ericoides,white heath aster,Plantae,201,Open flowers (1 location),1,2010,287,2455484,-9999,-9999,13,-9999,-9999,1,2010,287,2455484,-9999,-9999,8,-9999,-9999,0,'',5177.25,-9999,9319.05,-9999,7.14,21.59,33.79,21.23,-3.06,9.46,22.39,9.88,176,194,265,269,726,-9999,40090,-9999
161,5079,35.3377,-97.569756,371,OK,204,Liatris,aspera,tall blazing star,Plantae,201,Open flowers (1 location),1,2010,287,2455484,-9999,-9999,8,-9999,-9999,1,2010,295,2455492,-9999,-9999,9,-9999,-9999,0,'',5172,-9999,9309.6,-9999,7.13,21.57,33.82,21.14,-3.16,9.38,22.39,9.81,168,188,330,288,767,-9999,40090,-9999
165,5079,35.3377,-97.569756,371,OK,207,Symphyotrichum,ericoides,white heath aster,Plantae,201,Open flowers (1 location),1,2010,287,2455484,-9999,-9999,8,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',5172,-9999,9309.6,-9999,7.13,21.57,33.82,21.14,-3.16,9.38,22.39,9.81,168,188,330,288,767,-9999,40090,-9999
300,6061,35.48304,-97.255737,350,OK,197,Asclepias,incarnata,swamp milkweed,Plantae,500,Flowers or flower buds,1,2011,234,2455796,-9999,-9999,1,-9999,-9999,1,2011,229,2455791,-9999,-9999,4,-9999,-9999,1,'15643',4374.5,-9999,7874.1,-9999,10.51,23.06,38.05,24.24,-3.04,9.79,23.89,10.29,65,202,83,137,339,-9999,47002,-9999
301,6061,35.48304,-97.255737,350,OK,197,Asclepias,incarnata,swamp milkweed,Plantae,501,Open flowers,1,2011,234,2455796,-9999,-9999,1,-9999,-9999,1,2011,229,2455791,-9999,-9999,4,-9999,-9999,1,'15643',4374.5,-9999,7874.1,-9999,10.51,23.06,38.05,24.24,-3.04,9.79,23.89,10.29,65,202,83,137,339,-9999,47002,-9999
303,6061,35.48304,-97.255737,350,OK,203,Helianthus,annuus,common sunflower,Plantae,500,Flowers or flower buds,1,2011,234,2455796,-9999,-9999,1,-9999,-9999,1,2011,229,2455791,-9999,-9999,4,-9999,-9999,1,'15637',4374.5,-9999,7874.1,-9999,10.51,23.06,38.05,24.24,-3.04,9.79,23.89,10.29,65,202,83,137,339,-9999,47002,-9999
304,6061,35.48304,-97.255737,350,OK,203,Helianthus,annuus,common sunflower,Plantae,501,Open flowers,1,2011,234,2455796,-9999,-9999,1,-9999,-9999,1,2011,229,2455791,-9999,-9999,4,-9999,-9999,1,'15637',4374.5,-9999,7874.1,-9999,10.51,23.06,38.05,24.24,-3.04,9.79,23.89,10.29,65,202,83,137,339,-9999,47002,-9999
307,6061,35.48304,-97.255737,350,OK,299,Solidago,rugosa,wrinkleleaf goldenrod,Plantae,500,Flowers or flower buds,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2011,229,2455791,-9999,-9999,4,-9999,-9999,0,'',-9999,-9999,-9999,-9999,10.51,23.06,38.05,24.24,-3.04,9.79,23.89,10.29,65,202,83,137,-9999,-9999,-9999,-9999
309,6061,35.48304,-97.255737,350,OK,714,Cirsium,vulgare,bull thistle,Plantae,500,Flowers or flower buds,1,2011,234,2455796,-9999,-9999,1,-9999,-9999,1,2011,229,2455791,-9999,-9999,4,-9999,-9999,1,'15635',4374.5,-9999,7874.1,-9999,10.51,23.06,38.05,24.24,-3.04,9.79,23.89,10.29,65,202,83,137,339,-9999,47002,-9999
310,6061,35.48304,-97.255737,350,OK,714,Cirsium,vulgare,bull thistle,Plantae,501,Open flowers,1,2011,234,2455796,-9999,-9999,1,-9999,-9999,1,2011,229,2455791,-9999,-9999,4,-9999,-9999,1,'15635',4374.5,-9999,7874.1,-9999,10.51,23.06,38.05,24.24,-3.04,9.79,23.89,10.29,65,202,83,137,339,-9999,47002,-9999
689,9621,27.972702,-97.134949,3,TX,195,Asclepias,tuberosa,butterfly milkweed,Plantae,500,Flowers or flower buds,1,2013,81,2456374,-9999,-9999,5,-9999,-9999,1,2013,140,2456433,-9999,-9999,4,-9999,-9999,0,'',1316,-9999,2368.8,-9999,21.03,25.49,32.94,28.68,11.14,16.83,24.96,19.22,166,81,185,166,138,-9999,43200,-9999
690,9621,27.972702,-97.134949,3,TX,195,Asclepias,tuberosa,butterfly milkweed,Plantae,501,Open flowers,1,2013,110,2456403,-9999,-9999,13,-9999,-9999,1,2013,140,2456433,-9999,-9999,4,-9999,-9999,0,'',1886.75,-9999,3396.15,-9999,21.03,25.49,32.94,28.68,11.14,16.83,24.96,19.22,166,81,185,166,157,-9999,45965,-9999
707,9813,29.765047,-95.452187,17,TX,804,Baccharis,halimifolia,eastern baccharis,Plantae,500,Flowers or flower buds,1,2013,139,2456432,-9999,-9999,14,-9999,-9999,1,2013,139,2456432,-9999,-9999,13,-9999,-9999,1,'37200',2322.5,-9999,4180.5,-9999,20.43,26.02,34.66,28.43,8.42,13.68,23.22,15.34,242,266,217,187,436,-9999,48730,-9999
710,9930,31.580486,-97.324806,178,TX,223,Asclepias,asperula,spider milkweed,Plantae,500,Flowers or flower buds,1,2013,137,2456430,-9999,-9999,16,-9999,-9999,1,2013,150,2456443,-9999,-9999,16,-9999,-9999,0,'',1891.25,-9999,3404.25,-9999,17.92,24.27,35.22,27.61,3.93,10.91,22.35,12.74,189,186,162,123,307,-9999,49075,-9999
711,9930,31.580486,-97.324806,178,TX,223,Asclepias,asperula,spider milkweed,Plantae,501,Open flowers,1,2013,150,2456443,-9999,-9999,13,-9999,-9999,1,2013,150,2456443,-9999,-9999,16,-9999,-9999,0,'',2221.75,-9999,3999.15,-9999,17.92,24.27,35.22,27.61,3.93,10.91,22.35,12.74,189,186,162,123,352,-9999,50112,-9999
827,2208,31.966946,-98.885612,560,TX,223,Asclepias,asperula,spider milkweed,Plantae,500,Flowers or flower buds,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2014,124,2456782,-9999,-9999,8,-9999,-9999,0,'',-9999,-9999,-9999,-9999,13.1,24.59,32.81,24.13,-1.8,8.92,20.41,11.35,82,203,189,240,-9999,-9999,-9999,-9999
828,2208,31.966946,-98.885612,560,TX,223,Asclepias,asperula,spider milkweed,Plantae,501,Open flowers,1,2014,124,2456782,-9999,-9999,7,-9999,-9999,1,2014,124,2456782,-9999,-9999,8,-9999,-9999,0,'',1354.75,-9999,2438.55,-9999,13.1,24.59,32.81,24.13,-1.8,8.92,20.41,11.35,82,203,189,240,61,-9999,48038,-9999
886,8418,32.363758,-94.873947,108,TX,203,Helianthus,annuus,common sunflower,Plantae,500,Flowers or flower buds,1,2014,169,2456827,-9999,-9999,3,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',2474.75,-9999,4454.55,-9999,13.73,23.29,31.88,25.37,1.27,10.54,21.73,12.95,205,419,230,480,556,-9999,50803,-9999
887,8418,32.363758,-94.873947,108,TX,203,Helianthus,annuus,common sunflower,Plantae,501,Open flowers,1,2014,169,2456827,-9999,-9999,3,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',2474.75,-9999,4454.55,-9999,13.73,23.29,31.88,25.37,1.27,10.54,21.73,12.95,205,419,230,480,556,-9999,50803,-9999
1000,16404,32.638493,-97.071976,174,TX,195,Asclepias,tuberosa,butterfly milkweed,Plantae,500,Flowers or flower buds,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2014,318,2456976,-9999,-9999,7,-9999,-9999,0,'',-9999,-9999,-9999,-9999,13.4,24.2,33.79,25.42,0.25,10.98,22.67,13.31,89,173,211,286,-9999,-9999,-9999,-9999
