0_degE	2.5_degE	5_degE	7.5_degE	10_degE	12.5_degE	15_degE	17.5_degE	20_degE	22.5_degE	25_degE	27.5_degE	30_degE	32.5_degE	35_degE	37.5_degE	40_degE	42.5_degE	45_degE	47.5_degE	50_degE	52.5_degE	55_degE	57.5_degE	60_degE	62.5_degE	65_degE	67.5_degE	70_degE	72.5_degE	75_degE	77.5_degE	80_degE	82.5_degE	85_degE	87.5_degE	90_degE	92.5_degE	95_degE	97.5_degE	100_degE	102.5_degE	105_degE	107.5_degE	110_degE	112.5_degE	115_degE	117.5_degE	120_degE	122.5_degE	125_degE	127.5_degE	130_degE	132.5_degE	135_degE	137.5_degE	140_degE	142.5_degE	145_degE	147.5_degE	150_degE	152.5_degE	155_degE	157.5_degE	160_degE	162.5_degE	165_degE	167.5_degE	170_degE	172.5_degE	175_degE	177.5_degE	180_degE	182.5_degE	185_degE	187.5_degE	190_degE	192.5_degE	195_degE	197.5_degE	200_degE	202.5_degE	205_degE	207.5_degE	210_degE	212.5_degE	215_degE	217.5_degE	220_degE	222.5_degE	225_degE	227.5_degE	230_degE	232.5_degE	235_degE	237.5_degE	240_degE	242.5_degE	245_degE	247.5_degE	250_degE	252.5_degE	255_degE	257.5_degE	260_degE	262.5_degE	265_degE	267.5_degE	270_degE	272.5_degE	275_degE	277.5_degE	280_degE	282.5_degE	285_degE	287.5_degE	290_degE	292.5_degE	295_degE	297.5_degE	300_degE	302.5_degE	305_degE	307.5_degE	310_degE	312.5_degE	315_degE	317.5_degE	320_degE	322.5_degE	325_degE	327.5_degE	330_degE	332.5_degE	335_degE	337.5_degE	340_degE	342.5_degE	345_degE	347.5_degE	350_degE	352.5_degE	355_degE	357.5_degE
20	20	20	20	20	22.5	22.5	22.5	22.5	22.5	22.5	25	25	25	25	25	25	25	25	25	25	22.5	22.5	22.5	22.5	22.5	22.5	22.5	25	25	25	25	25	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	30	30	30	30	30	30	30	30	32.5	32.5	32.5	32.5	32.5	32.5	32.5	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	37.5	37.5	40	40	40	42.5	45	47.5	47.5	47.5	50	50	52.5	52.5	55	55	55	55	55	55	52.5	22.5	22.5	22.5	22.5	22.5	22.5	22.5	35	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	40	40	40	40	40	42.5	42.5	42.5	42.5	42.5	45	45	45	45	45	45	45	45	47.5	17.5	17.5
25	25	25	25	25	25	25	22.5	22.5	25	25	25	25	25	25	25	25	25	25	27.5	27.5	27.5	27.5	27.5	27.5	25	25	25	25	25	25	25	25	25	25	25	25	25	25	27.5	27.5	27.5	27.5	27.5	27.5	27.5	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	32.5	32.5	32.5	32.5	32.5	32.5	32.5	32.5	32.5	32.5	32.5	32.5	32.5	32.5	32.5	32.5	32.5	35	37.5	40	40	40	42.5	15	42.5	42.5	42.5	42.5	42.5	42.5	42.5	22.5	22.5	22.5	25	25	25	25	25	25	27.5	27.5	27.5	30	37.5	37.5	37.5	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	37.5	37.5	37.5	37.5	37.5	37.5	15	17.5	17.5	20	20	22.5	22.5	22.5	22.5	25	25	25
25	25	25	25	25	25	25	25	25	25	25	25	27.5	27.5	27.5	27.5	27.5	27.5	30	30	30	30	30	30	30	30	30	30	30	27.5	27.5	27.5	27.5	27.5	25	25	25	25	25	25	27.5	27.5	27.5	27.5	27.5	27.5	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	32.5	32.5	32.5	32.5	32.5	35	35	37.5	40	42.5	42.5	45	45	45	47.5	47.5	47.5	47.5	47.5	47.5	50	50	20	20	20	20	22.5	22.5	22.5	22.5	22.5	25	25	25	25	25	25	25	27.5	27.5	27.5	27.5	30	30	30	32.5	32.5	35	35	35	37.5	40	40	40	40	47.5	47.5	45	45	45	45	45	45	45	45	47.5	47.5	47.5	47.5	50	50	52.5	52.5	20	22.5	25	25	25	25	25	25	25
27.5	27.5	27.5	27.5	30	30	30	30	30	30	30	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	30	30	30	30	30	30	32.5	37.5	37.5	37.5	37.5	37.5	40	40	40	27.5	25	25	25	25	25	25	25	27.5	27.5	27.5	45	45	45	45	45	45	45	37.5	37.5	35	35	35	35	35	32.5	32.5	32.5	30	30	30	30	30	30	30	65	65	65	65	65	65	67.5	67.5	67.5	67.5	67.5	67.5	67.5	67.5	67.5	67.5	32.5	35	35	32.5	32.5	32.5	32.5	30	30	30	30	30	30	40	40	40	40	42.5	42.5	42.5	42.5	42.5	42.5	42.5	45	45	45	45	45	45	45	45	45	45	47.5	47.5	50	50	50	50	50	50	52.5	52.5	55	55	55	55	25	25	25	27.5	27.5	27.5	27.5	27.5
30	30	30	32.5	32.5	32.5	32.5	32.5	30	30	30	30	27.5	27.5	27.5	27.5	27.5	27.5	27.5	30	30	30	30	30	30	30	30	30	30	30	30	30	30	27.5	27.5	27.5	30	30	30	30	32.5	32.5	32.5	35	47.5	47.5	45	45	40	40	40	40	37.5	35	35	35	35	35	35	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	45	45	45	45	45	45	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	40	35	22.5	22.5	22.5	25	25	72.5	72.5	72.5	72.5	72.5	40	42.5	42.5	40	40	40	40	40	40	40	40	40	42.5	42.5	42.5	45	45	45	45	45	45	45	47.5	57.5	55	25	25	25	27.5	27.5	27.5	27.5	30	30	30	30	30	30	30
50	50	50	37.5	37.5	37.5	35	35	35	35	35	35	35	35	35	35	32.5	35	67.5	67.5	67.5	67.5	67.5	65	65	65	65	62.5	62.5	32.5	32.5	32.5	35	37.5	42.5	42.5	45	45	45	45	47.5	47.5	47.5	47.5	47.5	47.5	47.5	45	35	35	32.5	32.5	32.5	32.5	35	35	35	35	37.5	37.5	37.5	37.5	37.5	37.5	40	40	40	40	40	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	40	40	40	42.5	42.5	45	45	45	47.5	47.5	47.5	47.5	47.5	47.5	50	70	70	32.5	32.5	32.5	32.5	35	35	35	37.5	37.5	37.5	40	47.5	47.5	45	45	45	45	45	45	45	45	42.5	42.5	42.5	42.5	42.5	42.5	42.5	45	45	45	45	45	45	47.5	47.5	47.5	47.5	50	50	50	50	50	50	50	50	50	50	50	50
37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	40	40	40	42.5	42.5	42.5	42.5	45	45	45	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	45	45	45	45	45	45	45	45	42.5	45	45	45	45	45	45	45	47.5	67.5	67.5	67.5	60	60	60	60	60	60	60	60	60	60	60	62.5	65	65	65	52.5	52.5	50	50	50	50	50	50	50	52.5	52.5	52.5	52.5	52.5	52.5	52.5	52.5	52.5	52.5	52.5	52.5	50	50	47.5	47.5	45	45	42.5	42.5	42.5	42.5	45	45	45	45	45	45	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	42.5	42.5	60	60	60	60	57.5	57.5	57.5	57.5	57.5	55	35	35	35	35	35
45	45	45	45	50	52.5	52.5	55	55	55	57.5	35	35	35	37.5	37.5	37.5	37.5	40	40	40	40	52.5	52.5	52.5	52.5	42.5	40	40	40	42.5	42.5	42.5	42.5	45	45	45	45	45	45	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	50	50	50	50	52.5	52.5	52.5	52.5	52.5	52.5	52.5	52.5	52.5	47.5	47.5	47.5	47.5	47.5	50	50	52.5	52.5	52.5	52.5	52.5	52.5	52.5	52.5	55	55	55	55	55	55	55	55	55	55	55	52.5	52.5	50	47.5	45	45	35	37.5	37.5	37.5	40	45	45	45	45	45	45	45	45	45	45	45	45	42.5	42.5	42.5	42.5	42.5	42.5	42.5	45	45	45	45	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	50	50	47.5	47.5	47.5	45	45	45	45	45	45	45	45
57.5	57.5	57.5	57.5	57.5	57.5	57.5	57.5	30	32.5	32.5	32.5	35	35	35	35	37.5	37.5	37.5	37.5	40	40	40	40	40	40	40	40	40	40	40	40	42.5	42.5	42.5	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	45	45	45	45	47.5	47.5	47.5	47.5	47.5	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	55	55	57.5	57.5	57.5	57.5	55	55	55	55	55	55	55	55	70	70	70	70	70	70	37.5	40	40	40	40	42.5	42.5	45	45	45	45	47.5	47.5	47.5	47.5	50	50	50	52.5	55	55	55	55	55	55	57.5	57.5	57.5	57.5	57.5
57.5	57.5	57.5	57.5	57.5	57.5	57.5	57.5	57.5	57.5	57.5	57.5	27.5	27.5	27.5	27.5	30	30	30	30	30	32.5	32.5	32.5	32.5	32.5	32.5	32.5	32.5	30	30	30	30	27.5	30	30	30	32.5	32.5	32.5	32.5	35	35	35	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	45	45	45	45	45	45	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	50	50	52.5	55	55	57.5	57.5	57.5	57.5	57.5	57.5	57.5	57.5	60	60	60	60	32.5	32.5	32.5	32.5	35	35	35	35	35	37.5	37.5	37.5	37.5	37.5	57.5	57.5	57.5	57.5	57.5	57.5	57.5	57.5	57.5	55	55	55	50	50	50	52.5	52.5	57.5	57.5	57.5	57.5	57.5	57.5
65	65	67.5	67.5	22.5	22.5	22.5	22.5	25	25	25	25	27.5	27.5	27.5	30	30	30	32.5	32.5	32.5	32.5	32.5	32.5	32.5	30	30	30	30	30	30	30	30	30	30	30	30	30	32.5	32.5	32.5	32.5	32.5	32.5	35	35	35	35	35	35	35	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	40	40	40	40	40	40	40	42.5	42.5	42.5	42.5	42.5	42.5	45	45	45	45	45	45	45	47.5	47.5	47.5	47.5	47.5	47.5	47.5	45	45	45	45	45	45	45	30	30	30	30	32.5	32.5	32.5	35	35	37.5	40	40	40	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	40	40	40	40	37.5	37.5	37.5	40	42.5	45	47.5	47.5	47.5	50	65	65	65	65
17.5	20	22.5	25	25	25	27.5	27.5	27.5	27.5	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	30	30	30	30	30	30	32.5	32.5	32.5	32.5	35	35	35	35	35	35	35	32.5	32.5	32.5	32.5	32.5	32.5	32.5	32.5	32.5	32.5	35	35	35	37.5	37.5	40	40	40	42.5	42.5	42.5	45	45	45	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	45	25	25	27.5	27.5	30	30	32.5	32.5	32.5	35	35	35	35	35	37.5	37.5	37.5	37.5	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	12.5	12.5	12.5	15	15
60	25	25	25	25	25	25	25	25	25	25	25	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	30	30	30	30	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	30	30	30	30	32.5	32.5	32.5	32.5	32.5	32.5	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	37.5	37.5	37.5	37.5	37.5	37.5	40	40	42.5	42.5	52.5	52.5	52.5	52.5	52.5	52.5	52.5	20	22.5	22.5	25	25	27.5	27.5	30	30	32.5	32.5	35	35	37.5	40	40	40	40	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	45	45	55	57.5	57.5	57.5	57.5	57.5	57.5	57.5	57.5	57.5	57.5	57.5	57.5	60	60	60	60	60	60	60
25	25	25	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	25	25	25	25	27.5	27.5	27.5	27.5	27.5	27.5	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	32.5	32.5	32.5	32.5	32.5	32.5	32.5	35	35	35	35	35	35	35	35	35	35	32.5	32.5	32.5	32.5	32.5	35	35	35	35	35	52.5	50	50	22.5	22.5	22.5	25	25	25	25	25	27.5	27.5	27.5	27.5	30	32.5	32.5	35	35	35	37.5	37.5	37.5	37.5	40	40	40	40	40	40	40	40	40	40	42.5	42.5	42.5	42.5	42.5	12.5	12.5	12.5	55	57.5	57.5	57.5	57.5	57.5	57.5	60	60	60	60	60
