month,longitude,"r,p<0.1",index,yrmin,yrmax
Jan,-110,NA,augroost,2004,2018
Jan,-107.5,NA,augroost,2004,2018
Jan,-105,NA,augroost,2004,2018
Jan,-102.5,NA,augroost,2004,2018
Jan,-100,NA,augroost,2004,2018
Jan,-97.5,NA,augroost,2004,2018
Jan,-95,NA,augroost,2004,2018
Jan,-92.5,NA,augroost,2004,2018
Jan,-90,NA,augroost,2004,2018
Jan,-87.5,NA,augroost,2004,2018
Jan,-85,NA,augroost,2004,2018
Jan,-82.5,NA,augroost,2004,2018
Jan,-80,NA,augroost,2004,2018
Jan,-77.5,NA,augroost,2004,2018
Jan,-75,NA,augroost,2004,2018
Jan,-72.5,NA,augroost,2004,2018
Jan,-70,NA,augroost,2004,2018
Jan,-67.5,NA,augroost,2004,2018
Jan,-65,NA,augroost,2004,2018
Jan,-62.5,NA,augroost,2004,2018
Jan,-60,NA,augroost,2004,2018
Feb,-110,NA,augroost,2004,2018
Feb,-107.5,NA,augroost,2004,2018
Feb,-105,NA,augroost,2004,2018
Feb,-102.5,NA,augroost,2004,2018
Feb,-100,NA,augroost,2004,2018
Feb,-97.5,NA,augroost,2004,2018
Feb,-95,NA,augroost,2004,2018
Feb,-92.5,NA,augroost,2004,2018
Feb,-90,NA,augroost,2004,2018
Feb,-87.5,NA,augroost,2004,2018
Feb,-85,NA,augroost,2004,2018
Feb,-82.5,NA,augroost,2004,2018
Feb,-80,NA,augroost,2004,2018
Feb,-77.5,NA,augroost,2004,2018
Feb,-75,NA,augroost,2004,2018
Feb,-72.5,NA,augroost,2004,2018
Feb,-70,NA,augroost,2004,2018
Feb,-67.5,NA,augroost,2004,2018
Feb,-65,NA,augroost,2004,2018
Feb,-62.5,NA,augroost,2004,2018
Feb,-60,NA,augroost,2004,2018
Mar,-110,NA,augroost,2004,2018
Mar,-107.5,NA,augroost,2004,2018
Mar,-105,NA,augroost,2004,2018
Mar,-102.5,NA,augroost,2004,2018
Mar,-100,NA,augroost,2004,2018
Mar,-97.5,NA,augroost,2004,2018
Mar,-95,NA,augroost,2004,2018
Mar,-92.5,NA,augroost,2004,2018
Mar,-90,NA,augroost,2004,2018
Mar,-87.5,NA,augroost,2004,2018
Mar,-85,NA,augroost,2004,2018
Mar,-82.5,NA,augroost,2004,2018
Mar,-80,NA,augroost,2004,2018
Mar,-77.5,NA,augroost,2004,2018
Mar,-75,NA,augroost,2004,2018
Mar,-72.5,-0.45,augroost,2004,2018
Mar,-70,-0.489285714,augroost,2004,2018
Mar,-67.5,-0.485714286,augroost,2004,2018
Mar,-65,NA,augroost,2004,2018
Mar,-62.5,NA,augroost,2004,2018
Mar,-60,NA,augroost,2004,2018
