Month,Day,Year,Latitude,Longitude,Number
7,31,2019,38.4,-121.4,1
7,31,2019,38.4,-121.3,1
7,31,2019,32.1,-90.2,1
7,31,2019,41.6,-87.5,1
7,31,2019,38.4,-122,1
7,30,2019,39.7,-105,1
7,30,2019,42.6,-70.7,5
7,30,2019,43.9,-79.2,1
7,30,2019,38.5,-121.5,1
7,30,2019,44,-65.9,1
7,29,2019,36.4,-87.2,6
7,29,2019,45.7,-62.8,1
7,29,2019,38.9,-77.3,1
7,29,2019,44.8,-107,1
7,29,2019,38,-121.3,1
7,29,2019,43.7,-79.4,1
7,29,2019,43.4,-80.7,1
7,28,2019,32.9,-96.8,1
7,28,2019,42.3,-83.9,1
7,28,2019,37.8,-122.3,1
7,28,2019,45.3,-75.7,1
7,28,2019,37.6,-77.5,1
7,28,2019,42.3,-72.2,1
7,27,2019,39.8,-75.8,1
7,27,2019,36.9,-86.5,1
7,27,2019,44.6,-64.1,1
7,27,2019,43,-85.7,1
7,27,2019,40.4,-104.8,1
7,27,2019,35.9,-106.3,1
7,27,2019,44.8,-69.7,1
7,27,2019,43.9,-73.4,2
7,26,2019,44,-70.2,3
7,26,2019,35.9,-106.3,1
7,26,2019,45.4,-75.6,3
7,26,2019,41.8,-71.4,1
7,25,2019,44.6,-64.1,2
7,25,2019,39.7,-105.1,1
7,25,2019,44.7,-63.8,1
7,25,2019,40.7,-95.9,1
7,25,2019,45.4,-75.7,1
7,25,2019,45.3,-75.8,1
7,25,2019,39.7,-89.7,1
7,24,2019,-27.4,153,1
7,24,2019,39.7,-89.7,1
7,24,2019,41,-74.2,1
7,24,2019,44.8,-69.1,1
7,24,2019,41.7,-87.8,1
7,23,2019,39.7,-89.7,1
7,23,2019,35.7,-97.5,1
7,23,2019,45.4,-73.8,1
7,23,2019,43.8,-111.9,4
7,23,2019,40.3,-103.6,2
7,22,2019,45.2,-123.2,1
7,22,2019,35.8,-78.6,1
7,22,2019,42.2,-83.2,1
7,22,2019,39.8,-89.7,1
7,21,2019,42.2,-83.7,1
7,21,2019,39.2,-76.7,1
7,21,2019,39.3,-76.8,1
7,21,2019,45.5,-73.7,1
7,21,2019,43.6,-79.4,1
7,20,2019,41.6,-73.2,1
7,20,2019,40.5,-80.1,1
7,20,2019,38.2,-122.6,1
7,20,2019,39,-77.4,2
7,20,2019,41.2,-75.8,1
7,20,2019,40.9,-73.9,1
7,19,2019,37.3,-76,2
7,19,2019,43.1,-70.9,1
7,19,2019,45.2,-63.7,1
7,19,2019,38.3,-86,1
7,19,2019,41.2,-79.7,1
7,19,2019,46.7,-92.1,3
7,19,2019,41.1,-74.4,3
7,18,2019,44.6,-65.7,1
7,18,2019,44.4,-69,2
7,18,2019,30.1,-92,1
7,18,2019,38,-122.5,1
7,18,2019,46,-74.3,1
7,17,2019,45.4,-72.7,4
7,17,2019,44.5,-72.4,1
7,17,2019,44.6,-72.8,1
7,17,2019,34.8,-92.3,1
7,17,2019,40.9,-74.3,1
7,17,2019,42.9,-75.2,1
7,16,2019,38.9,-77.1,1
7,16,2019,40.7,-74.5,1
7,16,2019,38.6,-121.7,1
7,16,2019,44.5,-68.3,
7,16,2019,42,-74,1
7,16,2019,46.8,-119.9,1
7,16,2019,45.5,-73.7,1
7,16,2019,41.8,-71.4,1
7,16,2019,41.3,-81.7,1
7,16,2019,38.6,-90.3,1
7,16,2019,42.1,-71.2,1
7,15,2019,42.2,-71.1,1
7,15,2019,43.6,-80.1,1
7,15,2019,44.3,-78.9,1
7,15,2019,42.3,-71.6,1
7,15,2019,50,-110.6,1
7,15,2019,45.4,-75.7,1
7,15,2019,38.9,-107.6,1
7,15,2019,40.8,-77.9,1
7,15,2019,41,-75.2,1
7,15,2019,48.4,-89.3,1
7,15,2019,43.7,-79.4,2
