Month,Day,Year,Latitude,Longitude,Number
12,4,2000,28.5,-96.7,
10,29,2000,30.4,-87.2,
10,28,2000,25.5,-100.4,
10,27,2000,33.1,-95.9,
10,27,2000,33.6,-84.4,
10,25,2000,28.6,-100.3,
10,22,2000,29.7,-95.6,
10,22,2000,30.5,-100.5,
10,22,2000,19.5,-99,
10,20,2000,29.5,-98.5,
10,19,2000,34.6,-83.6,
10,18,2000,19.6,-100.3,
10,18,2000,30.1,-98.4,
10,18,2000,28.6,-82.4,0
10,18,2000,28.6,-82.4,
10,18,2000,23.7,-100.7,
10,18,2000,25.7,-100.3,
10,18,2000,32.4,-86.3,0
10,18,2000,28.5,-96.7,
10,18,2000,25.4,-101,
10,18,2000,29.5,-98.5,0
10,18,2000,21.3,-100.5,
10,17,2000,30.7,-97.9,0
10,17,2000,36,-96.1,0
10,16,2000,31.6,-99,0
10,15,2000,26.3,-80.1,
10,15,2000,33.1,-95.9,
10,15,2000,25.7,-100.3,
10,14,2000,30.4,-87.1,0
10,13,2000,27.8,-97.4,0
10,12,2000,30.2,-97.4,0
10,12,2000,30.7,-98.5,0
10,11,2000,30.2,-97.7,0
10,11,2000,30.6,-97.7,0
10,11,2000,32.4,-86.3,
10,11,2000,30.4,-87.2,
10,11,2000,28.5,-96.7,
10,11,2000,33.5,-93.9,
10,10,2000,30.5,-98.1,0
10,10,2000,32,-102.1,0
10,9,2000,38.1,-75.1,0
10,9,2000,36,-94.1,0
10,7,2000,28.8,-97,
10,6,2000,33.7,-85.8,0
10,6,2000,34.7,-83.5,
10,6,2000,36,-94.1,0
10,6,2000,32.9,-96.6,0
10,6,2000,33,-96.7,0
10,5,2000,36,-95.8,0
10,5,2000,34.7,-83.5,
10,5,2000,33.3,-88.3,0
10,5,2000,34.4,-86.9,0
10,5,2000,30.8,-81.8,0
10,5,2000,34.5,-98.3,0
10,5,2000,33,-96.7,
10,5,2000,33,-96.7,
10,5,2000,29.8,-81.2,0
10,5,2000,33.5,-98.3,
10,4,2000,36,-95.8,
10,4,2000,31.9,-100.3,0
10,4,2000,34.3,-83.8,0
10,4,2000,39.2,-78.1,0
10,4,2000,29.8,-95.4,0
10,4,2000,34.9,-82.7,0
10,4,2000,32.6,-96.4,0
10,4,2000,32.6,-96.4,0
10,4,2000,38.9,-77,0
10,4,2000,33.5,-98.3,
10,4,2000,40.6,-74.3,
10,3,2000,35.6,-82.6,0
10,3,2000,36,-95.8,
10,3,2000,26.3,-98.4,
10,3,2000,32.2,-86.1,0
10,3,2000,25.4,-101,
10,3,2000,40.9,-73.9,0
10,2,2000,36,-95.8,
10,2,2000,35.1,-82.1,0
10,2,2000,35.6,-83.6,0
10,2,2000,35.9,-86.4,0
10,2,2000,41.3,-74.5,0
10,2,2000,32.6,96.4,0
10,2,2000,32.6,-96.4,0
10,2,2000,34.9,-81,0
10,2,2000,40.6,-74.3,0
10,1,2000,39,-76.7,0
