Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Phenophase_ID,Phenophase_Description,First_Yes_Sample_Size,Mean_First_Yes_Year,Mean_First_Yes_DOY,Mean_First_Yes_Julian_Date,SE_First_Yes_In_Days,SD_First_Yes_In_Days,Mean_NumDays_Since_Prior_No,SE_NumDays_Since_Prior_No,SD_NumDays_Since_Prior_No,Last_Yes_Sample_Size,Mean_Last_Yes_Year,Mean_Last_Yes_DOY,Mean_Last_Yes_Julian_Date,SE_Last_Yes_in_Days,SD_Last_Yes_in_Days,Mean_NumDays_Until_Next_No,SE_NumDays_Until_Next_No,SD_NumDays_Until_Next_No,Num_Individuals_with_Multiple_FirstY,Multiple_FirstY_Individual_IDs,Mean_AGDD,SE_AGDD,Mean_AGDD_in_F,SE_AGDD_in_F,Tmax_Winter,Tmax_Spring,Tmax_Summer,Tmax_Fall,Tmin_Winter,Tmin_Spring,Tmin_Summer,Tmin_Fall,Prcp_Winter,Prcp_Spring,Prcp_Summer,Prcp_Fall,Mean_Accum_Prcp,SE_Accum_Prcp,Mean_Daylength,SE_Daylength
258,39.184269,-106.854614,2438,CO,156,Cirsium,arvense,Canada thistle,Plantae,482,Initial growth (forbs),1,2009,103,2454935,-9999,-9999,5,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',87.25,-9999,157.05,-9999,1.81,11.54,23.16,14.4,-11.25,-2.97,6.08,-1.49,201,164,110,96,177,-9999,46656,-9999
258,39.184269,-106.854614,2438,CO,156,Cirsium,arvense,Canada thistle,Plantae,488,Leaves (forbs),1,2009,114,2454946,-9999,-9999,11,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',143.5,-9999,258.3,-9999,1.81,11.54,23.16,14.4,-11.25,-2.97,6.08,-1.49,201,164,110,96,195,-9999,48384,-9999
310,38.983101,-104.690399,2210,CO,156,Cirsium,arvense,Canada thistle,Plantae,482,Initial growth (forbs),1,2009,131,2454963,-9999,-9999,11,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',552.5,-9999,994.5,-9999,6.57,14.79,24.74,16.39,-7.95,-0.38,9.63,1.07,52,208,325,107,176,-9999,50458,-9999
310,38.983101,-104.690399,2210,CO,156,Cirsium,arvense,Canada thistle,Plantae,488,Leaves (forbs),1,2009,131,2454963,-9999,-9999,11,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',552.5,-9999,994.5,-9999,6.57,14.79,24.74,16.39,-7.95,-0.38,9.63,1.07,52,208,325,107,176,-9999,50458,-9999
414,44.277962,-70.315315,150,ME,195,Asclepias,tuberosa,butterfly milkweed,Plantae,482,Initial growth (forbs),1,2009,136,2454968,-9999,-9999,4,-9999,-9999,1,2009,136,2454968,-9999,-9999,8,-9999,-9999,0,'',444,-9999,799.2,-9999,-1.48,12.15,23.05,13.6,-13.61,-0.52,12.79,2.79,286,279,568,473,377,-9999,52531,-9999
414,44.277962,-70.315315,150,ME,195,Asclepias,tuberosa,butterfly milkweed,Plantae,488,Leaves (forbs),1,2009,144,2454976,-9999,-9999,8,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',552.25,-9999,994.05,-9999,-1.48,12.15,23.05,13.6,-13.61,-0.52,12.79,2.79,286,279,568,473,389,-9999,53568,-9999
414,44.277962,-70.315315,150,ME,199,Asclepias,syriaca,common milkweed,Plantae,482,Initial growth (forbs),1,2009,132,2454964,-9999,-9999,16,-9999,-9999,1,2009,132,2454964,-9999,-9999,8,-9999,-9999,0,'',393,-9999,707.4,-9999,-1.48,12.15,23.05,13.6,-13.61,-0.52,12.79,2.79,286,279,568,473,374,-9999,52186,-9999
414,44.277962,-70.315315,150,ME,199,Asclepias,syriaca,common milkweed,Plantae,488,Leaves (forbs),1,2009,140,2454972,-9999,-9999,8,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',484.75,-9999,872.55,-9999,-1.48,12.15,23.05,13.6,-13.61,-0.52,12.79,2.79,286,279,568,473,388,-9999,53222,-9999
637,44.34095,-72.46122,518,VT,202,Echinacea,purpurea,eastern purple coneflower,Plantae,482,Initial growth (forbs),2,2009,125,2454957,0,0,5,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',321.75,0,579.15,0,-1.88,12.46,24.4,13.51,-14.07,-0.95,12.47,2.33,238,253,343,243,256,0,51149,0
637,44.34095,-72.46122,518,VT,202,Echinacea,purpurea,eastern purple coneflower,Plantae,488,Leaves (forbs),2,2009,130,2454962,0,0,5,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',385.5,0,693.9,0,-1.88,12.46,24.4,13.51,-14.07,-0.95,12.47,2.33,238,253,343,243,303,0,51840,0
